#OTU ID	A-1	A-2	B-1	B-2	C-1	C-2
ZOTU_607	0	0	3	0	10	12
ZOTU_608	29	38	0	0	0	0
ZOTU_609	0	0	2	1	12	15
ZOTU_610	21	21	0	0	0	0
ZOTU_611	14	12	0	0	0	0
ZOTU_612	13	8	0	0	0	0
ZOTU_613	10	4	0	0	0	0
ZOTU_614	24	18	0	0	0	0
ZOTU_615	12	15	0	0	0	0
ZOTU_616	0	0	1	1	28	29
ZOTU_617	12	17	0	0	0	0
ZOTU_618	0	0	21	24	0	0
ZOTU_619	44	26	0	0	0	0
ZOTU_620	26	13	0	0	0	0
ZOTU_621	16	14	0	0	0	0
ZOTU_622	0	0	12	8	0	4
ZOTU_623	0	0	13	18	0	0
ZOTU_624	0	0	23	23	0	0
ZOTU_625	8	13	0	0	0	0
ZOTU_626	0	0	1	1	11	13
ZOTU_627	16	10	0	0	0	0
ZOTU_628	20	13	0	0	0	0
ZOTU_629	0	0	18	8	0	0
ZOTU_630	21	16	0	0	0	0
ZOTU_631	0	0	4	11	1	1
ZOTU_632	15	8	0	0	0	0
ZOTU_633	0	0	9	9	6	8
ZOTU_634	12	15	0	0	0	0
ZOTU_635	14	14	0	0	6	3
ZOTU_636	5	14	0	0	0	0
ZOTU_637	28	29	0	0	0	0
ZOTU_638	15	9	1	1	0	0
ZOTU_639	32	17	0	0	0	0
ZOTU_640	0	0	7	3	3	11
ZOTU_641	0	0	13	8	5	4
ZOTU_642	14	5	1	0	0	0
ZOTU_643	0	0	0	0	15	27
ZOTU_644	10	16	0	0	0	0
ZOTU_645	0	0	15	7	6	8
ZOTU_646	37	27	0	0	0	0
ZOTU_647	0	0	0	0	7	21
ZOTU_648	14	7	0	0	0	0
ZOTU_649	15	7	0	0	0	0
ZOTU_650	19	13	0	0	0	0
ZOTU_651	0	0	10	10	0	1
ZOTU_652	0	0	12	5	0	0
ZOTU_653	12	16	8	12	0	0
ZOTU_654	0	0	0	0	5	17
ZOTU_655	0	0	0	0	5	16
ZOTU_656	22	5	0	0	0	0
ZOTU_657	0	0	7	7	17	19
ZOTU_658	0	0	0	0	4	24
ZOTU_659	0	0	6	10	0	0
ZOTU_660	13	10	0	0	0	0
ZOTU_661	13	21	0	0	0	0
ZOTU_662	0	0	15	8	0	0
ZOTU_663	0	0	6	13	0	0
ZOTU_664	11	9	0	0	0	0
ZOTU_665	8	8	0	0	0	0
ZOTU_666	12	12	0	1	0	5
ZOTU_667	22	22	0	0	0	0
ZOTU_668	0	0	0	0	12	13
ZOTU_669	0	0	18	10	0	1
ZOTU_670	0	0	0	0	7	10
ZOTU_671	0	0	1	3	4	9
ZOTU_672	9	7	0	0	0	0
ZOTU_673	4	5	2	11	0	0
ZOTU_674	10	21	0	0	0	0
ZOTU_675	0	0	1	1	25	33
ZOTU_676	0	0	20	15	1	1
ZOTU_677	13	21	0	0	0	0
ZOTU_678	19	9	0	0	0	0
ZOTU_679	11	18	0	0	0	0
ZOTU_680	0	0	4	11	1	1
ZOTU_681	12	15	0	0	0	0
ZOTU_682	13	9	0	0	0	0
ZOTU_683	12	11	0	0	0	0
