#OTU ID	A-1	A-2	B-1	B-2	C-1	C-2	taxonomy
ZOTU_111	130	124	0	0	0	0	d:Bacteria,p:"Bacteroidetes",c:Sphingobacteriia,o:"Sphingobacteriales",f:Chitinophagaceae
ZOTU_112	140	130	0	0	0	0	d:Bacteria,p:"Acidobacteria",c:Acidobacteria_Gp3,g:Gp3
ZOTU_113	136	98	0	0	0	0	d:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria,o:Rhizobiales
ZOTU_114	111	102	1	9	0	0	d:Bacteria,p:"Actinobacteria",c:Actinobacteria,o:Actinomycetales,f:Microbacteriaceae
ZOTU_115	0	0	119	126	0	0	d:Bacteria,p:"Proteobacteria",c:Gammaproteobacteria
ZOTU_116	0	0	1	0	116	213	d:Bacteria,p:"Proteobacteria",c:Gammaproteobacteria,o:Alteromonadales,f:Shewanellaceae,g:Shewanella
ZOTU_117	0	0	93	83	3	1	d:Bacteria,p:"Proteobacteria",c:Betaproteobacteria,o:Burkholderiales,f:Alcaligenaceae
ZOTU_118	138	109	0	0	0	0	d:Bacteria,p:"Actinobacteria",c:Actinobacteria,o:Actinomycetales,f:Streptomycetaceae,g:Streptomyces
ZOTU_119	118	156	0	0	0	0	d:Bacteria,p:Firmicutes,c:Bacilli,o:Bacillales,f:Bacillaceae_1,g:Bacillus
ZOTU_120	156	82	0	0	0	0	d:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria,o:Sphingomonadales,f:Erythrobacteraceae
ZOTU_121	0	0	81	105	0	0	d:Bacteria,p:"Bacteroidetes",c:Flavobacteriia,o:"Flavobacteriales",f:Flavobacteriaceae,g:Flavobacterium
ZOTU_122	0	0	115	100	1	0	d:Bacteria,p:"Proteobacteria",c:Gammaproteobacteria,o:Oceanospirillales,f:Oceanospirillaceae,g:Marinobacterium,s:Marinobacterium_georgiense
ZOTU_123	119	79	0	0	0	0	d:Bacteria,p:"Actinobacteria",c:Actinobacteria,o:Actinomycetales,f:Micromonosporaceae
ZOTU_124	0	0	0	0	87	146	d:Bacteria,p:"Bacteroidetes",c:"Bacteroidia",o:"Bacteroidales",f:"Porphyromonadaceae",g:Proteiniphilum,s:Proteiniphilum_acetatigenes
ZOTU_125	144	83	0	0	0	0	d:Bacteria
ZOTU_126	0	0	149	99	1	0	d:Bacteria,p:"Chrysiogenetes",c:Chrysiogenetes,o:Chrysiogenales,f:Chrysiogenaceae,g:Chrysiogenes,s:Chrysiogenes_arsenatis
ZOTU_127	0	0	114	103	1	1	d:Bacteria,p:"Proteobacteria",c:Betaproteobacteria,o:Burkholderiales,f:Alcaligenaceae
ZOTU_128	94	116	0	0	0	0	d:Bacteria
ZOTU_129	10	7	1	0	93	146	d:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria,o:Rhizobiales,f:Rhodobiaceae,g:Parvibaculum,s:Parvibaculum_lavamentivorans
ZOTU_130	0	0	97	93	0	0	d:Bacteria,p:"Proteobacteria",c:Gammaproteobacteria,o:Alteromonadales,f:Alteromonadaceae,g:Alishewanella
ZOTU_131	95	68	0	0	0	0	d:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria
ZOTU_132	94	86	0	0	0	0	d:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria,o:Rhizobiales
