#OTU ID	A-1	A-2	B-1	B-2	C-1	C-2	taxonomy
ZOTU_205	0.002036	0.002299	0	0	0	0	d:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria,o:Rhodospirillales,f:Rhodospirillaceae
ZOTU_206	0.001927	0.002012	0	0	0	0	d:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria,o:Rhizobiales,f:Phyllobacteriaceae,g:Chelativorans
ZOTU_207	0	0	0.0001064	5.578e-05	0.00224	0.001735	d:Bacteria,p:"Actinobacteria",c:Actinobacteria,o:Actinomycetales
ZOTU_208	0.002254	0.002833	0	0	0	0	d:Bacteria,p:"Proteobacteria",c:Gammaproteobacteria
ZOTU_209	0.002654	0.001888	0	0	0	0	d:Bacteria,p:"Proteobacteria",c:Gammaproteobacteria,o:Xanthomonadales,f:Xanthomonadaceae
ZOTU_210	0	0	0.002074	0.002901	0	0	d:Bacteria,p:"Proteobacteria",c:Gammaproteobacteria,o:Alteromonadales,f:Alteromonadaceae,g:Alishewanella
ZOTU_211	0	0	0	0	0.001511	0.002184	d:Bacteria,p:"Bacteroidetes",c:"Bacteroidia",o:"Bacteroidales",f:"Porphyromonadaceae"
ZOTU_212	0	0	0	0	0.002292	0.001705	d:Bacteria,p:"Actinobacteria"
ZOTU_213	0.0003999	0.0003695	0.0001064	0.0001674	0.001771	0.001585	d:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria,o:Rhizobiales
ZOTU_214	0	0	0.002287	0.002176	0.0001563	2.991e-05	d:Bacteria,p:"Proteobacteria",c:Gammaproteobacteria,o:Pseudomonadales,f:Pseudomonadaceae,g:Pseudomonas
ZOTU_215	0	0	0.002234	0.002789	0.0001563	0.0001795	d:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria,o:Rhizobiales
ZOTU_216	0.001599	0.001806	0	0	0	0	d:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria,o:Rhizobiales
ZOTU_217	0	0	0.0003191	0	0.003021	0.001885	d:Bacteria,p:"Proteobacteria",c:Betaproteobacteria
ZOTU_218	0.002108	0.002299	0	0	0	0	d:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria
ZOTU_219	0	0	0	0	0.00224	0.002004	d:Bacteria,p:"Bacteroidetes",c:"Bacteroidia",o:"Bacteroidales",f:"Porphyromonadaceae"
ZOTU_220	0	0	0.002499	0.002678	0	0	d:Bacteria,p:"Proteobacteria",c:Gammaproteobacteria,o:Alteromonadales,f:Shewanellaceae,g:Shewanella
ZOTU_221	0	0	0.002872	0.002901	0	2.991e-05	d:Bacteria,p:"Proteobacteria",c:Gammaproteobacteria,o:Alteromonadales,f:Shewanellaceae,g:Shewanella
ZOTU_222	0.0003635	0.0001642	0.00101	0.000781	0.002188	0.002064	d:Bacteria,p:"Proteobacteria",c:Gammaproteobacteria,o:Pseudomonadales,f:Pseudomonadaceae,g:Pseudomonas
ZOTU_223	0.001818	0.001765	0	0	0	0	d:Bacteria
ZOTU_224	0	0	0.002287	0.002455	0	0	d:Bacteria,p:"Proteobacteria",c:Gammaproteobacteria,o:Pseudomonadales,f:Pseudomonadaceae,g:Pseudomonas,s:Pseudomonas_linyingensis
