#Name	TPM
TRINITY_g328_i1_1	0.000000
TRINITY_g329_i1_1	0.000000
TRINITY_g330_i1_1	0.000000
TRINITY_g332_i1_1	0.000000
TRINITY_g333_i1_1	0.000000
TRINITY_g334_i1_1	0.000000
TRINITY_g335_i1_1	0.000000
TRINITY_g336_i1_1	2.415830
TRINITY_g337_i1_1	0.000000
TRINITY_g338_i1_1	0.000000
TRINITY_g339_i1_1	3.094559
TRINITY_g340_i1_1	0.000000
TRINITY_g341_i1_1	0.000000
TRINITY_g342_i1_1	0.000000
TRINITY_g343_i1_1	2.734320
TRINITY_g344_i1_1	0.000000
TRINITY_g345_i1_1	0.000000
TRINITY_g346_i1_1	0.000000
TRINITY_g347_i1_1	0.000000
TRINITY_g348_i1_1	11.556709
TRINITY_g349_i1_1	10.629192
TRINITY_g350_i1_1	0.000000
TRINITY_g351_i1_1	0.000000
TRINITY_g351_i1_2	0.000000
TRINITY_g352_i1_1	20.046599
TRINITY_g353_i1_1	0.000000
TRINITY_g353_i1_2	0.000000
TRINITY_g353_i1_3	0.000000
TRINITY_g354_i1_1	9.346743
TRINITY_g355_i1_1	11.690432
TRINITY_g356_i1_1	0.000000
TRINITY_g357_i1_1	1.298269
TRINITY_g358_i1_1	0.000000
TRINITY_g359_i1_1	1.328494
TRINITY_g360_i1_1	3.772113
TRINITY_g360_i1_2	0.000000
TRINITY_g361_i1_1	0.000000
TRINITY_g362_i1_1	0.000000
TRINITY_g363_i1_1	0.000000
TRINITY_g365_i1_1	0.000000
TRINITY_g366_i1_1	0.000000
TRINITY_g366_i1_2	0.000000
TRINITY_g366_i1_3	0.000000
TRINITY_g367_i1_1	0.000000
TRINITY_g368_i1_1	0.000000
TRINITY_g369_i1_1	0.000000
TRINITY_g369_i1_2	0.000000
TRINITY_g370_i1_1	0.000000
TRINITY_g371_i1_1	0.000000
TRINITY_g372_i1_1	0.000000
TRINITY_g373_i1_1	0.000000
TRINITY_g374_i1_1	0.000000
TRINITY_g375_i1_1	0.000000
TRINITY_g376_i1_1	0.000000
TRINITY_g377_i1_1	0.000000
TRINITY_g378_i1_1	17.309177
TRINITY_g379_i1_1	0.000000
TRINITY_g379_i1_2	0.000000
TRINITY_g380_i1_1	11.472781
TRINITY_g381_i1_1	0.000000
TRINITY_g381_i1_2	0.000000
TRINITY_g382_i1_1	0.000000
TRINITY_g383_i1_1	2.217864
TRINITY_g383_i1_2	0.000000
TRINITY_g384_i1_1	0.000000
TRINITY_g385_i1_1	0.000000
TRINITY_g386_i1_1	0.000000
TRINITY_g387_i1_1	0.000000
TRINITY_g388_i1_1	0.000000
TRINITY_g389_i1_1	0.000000
TRINITY_g390_i1_1	0.000000
TRINITY_g390_i1_2	0.000000
TRINITY_g391_i1_1	0.000000
TRINITY_g392_i1_1	11.205600
TRINITY_g393_i1_1	0.000000
TRINITY_g394_i1_1	0.000000
TRINITY_g395_i1_1	0.000000
TRINITY_g395_i1_2	0.000000
TRINITY_g396_i1_1	0.000000
TRINITY_g396_i1_2	0.000000
TRINITY_g397_i1_1	0.000000
TRINITY_g398_i1_1	0.000000
TRINITY_g399_i1_1	0.000000
TRINITY_g400_i1_1	0.000000
TRINITY_g401_i1_1	0.000000
TRINITY_g403_i1_1	0.000000
TRINITY_g404_i1_1	0.000000
TRINITY_g404_i1_2	0.000000
TRINITY_g405_i1_1	0.000000
TRINITY_g406_i1_1	0.000000
TRINITY_g407_i1_1	0.000000
TRINITY_g408_i1_1	0.000000
TRINITY_g409_i1_1	0.000000
TRINITY_g410_i1_1	0.000000
TRINITY_g411_i1_1	0.000000
TRINITY_g412_i1_1	0.000000
TRINITY_g412_i1_2	0.000000
TRINITY_g413_i1_1	0.000000
TRINITY_g413_i1_2	0.000000
TRINITY_g414_i1_1	0.000000
TRINITY_g415_i1_1	0.000000
TRINITY_g417_i1_1	1.337440
TRINITY_g418_i1_1	0.000000
TRINITY_g419_i1_1	0.000000
TRINITY_g420_i1_1	0.000000
TRINITY_g421_i1_1	0.000000
TRINITY_g422_i1_1	0.000000
TRINITY_g422_i1_2	0.000000
TRINITY_g423_i1_1	0.000000
TRINITY_g424_i1_1	0.000000
TRINITY_g427_i1_1	0.000000
TRINITY_g428_i1_1	0.000000
TRINITY_g428_i1_2	0.000000
TRINITY_g429_i1_1	7.418757
TRINITY_g430_i1_1	0.000000
TRINITY_g431_i1_1	0.000000
TRINITY_g432_i1_1	0.000000
TRINITY_g433_i1_1	0.000000
TRINITY_g434_i1_1	0.000000
TRINITY_g435_i1_1	0.000000
TRINITY_g436_i1_1	0.000000
TRINITY_g437_i1_1	0.000000
TRINITY_g438_i1_1	0.000000
TRINITY_g438_i1_2	0.000000
TRINITY_g439_i1_1	0.000000
